crevasse,stress
1,135935.52087879326
1,135708.2103182056
1,136429.71871705784
1,151592.48974809924
1,147946.9115226215
1,145193.80476895202
1,143510.7730541947
1,142751.4691890984
1,143011.73911119546
1,144107.84861189374
1,145954.8828
1,148548.6038169326
1,151913.89395380343
1,158390.20348010983
1,154757.88069134954
1,151853.81107599047
1,149793.99772217858
1,148737.56208294854
1,148663.06154892332
1,149539.11917989788
1,151148.5222389815
1,153377.47637380805
1,156191.62392763028
1,159489.0894585179
1,163361.99678088166
1,167610.88499069904
1,171878.16513779503
1,175674.33041347977
1,159528.9167103429
1,156572.22455231467
1,154324.9154345729
1,152899.6637499109
1,152435.04073613507
1,152977.94233365433
1,154482.0523
1,156723.2416978274
1,159544.98785745894
1,162793.3017
1,166299.1500115509
1,170049.0195759068
1,173833.9816173774
1,177320.4406041224
1,180197.41722248035
1,182021.14818955396
1,182432.27498133338
1,181163.87851977753
1,159105.73274411418
1,156757.1036199879
1,154977.13808763778
1,154036.90908823579
1,154055.44059469603
1,155167.61996639965
1,157304.4937768898
1,160250.1822919863
1,163831.01505476184
1,167717.00396451127
1,171676.41984201086
1,175669.67268985824
1,179306.60796346454
1,182304.8926774172
1,184481.12111876745
1,185461.4918880827
1,185012.45881731468
1,182942.99363686173
1,179137.15113979953
1,173468.38189655225
1,165808.19219541355
1,156308.93876284396
1,158949.33529336826
1,156638.45791161177
1,154670.29460442733
1,153208.6673
1,152532.7307651581
1,152895.45654926245
1,154507.9914491327
1,157306.5174311636
1,161189.5160304956
1,165683.67673342774
1,170506.74465888416
1,175279.06224819392
1,179721.19061736952
1,183565.98695748558
1,186421.9252256238
1,188196.53156552566
1,188592.61309802838
1,187474.8271313142
1,184764.17114154977
1,180438.2422415343
1,174150.4421880252
1,166087.1071249785
1,156278.1575268813
1,153810.6276666962
1,151680.4452861428
1,149814.32428883252
1,148445.17076143785
1,147893.40233994296
1,148569.94313835131
1,150768.8605827499
1,154502.63847890263
1,159405.19843001687
1,165001.1345
1,171106.6627669929
1,176908.7396
1,182135.76517582178
1,186445.67600297966
1,189533.91216430994
1,191158.0965642806
1,191231.89426767966
1,189728.01769279933
1,186512.5355299874
1,181611.77602683884
1,174973.11028709103
1,166554.1508257498
1,146587.62878436255
1,144420.63529752858
1,142453.16635926577
1,140979.5978742763
1,140471.55348538887
1,141455.9976537947
1,144185.42658731868
1,149002.2944
1,155205.22646983364
1,162324.48609637233
1,169572.33093757214
1,176738.1603176613
1,182932.61161289964
1,187873.56929571644
1,191383.0176
1,193207.7819997706
1,193206.2372299316
1,191485.65688415102
1,188092.8068
1,182825.63158615268
1,175874.1537048444
1,167350.69721971938
1,137959.59987950826
1,135451.68669872844
1,133096.0029374634
1,131730.3518154096
1,135213.81214858708
1,141109.55318701462
1,148818.60218971357
1,157577.23715299994
1,166502.02299212286
1,174831.82203518297
1,182127.86612899773
1,187997.04213235946
1,192092.04862341814
1,194215.59921059408
1,194384.95504807305
1,192695.3394271843
1,189191.80847428722
1,183868.64589035788
1,176772.38767586282
1,168142.02913109132
1,131772.5284102354
1,128487.20046595567
1,125253.96907989259
1,122120.94011274325
1,119555.83600280854
1,119377.08992496846
1,123496.19786614382
1,130755.54484879428
1,140261.43745897454
1,150890.4610857576
1,161486.88664755324
1,171287.70251416013
1,179781.02994621187
1,186602.2282230315
1,191351.2750493765
1,194109.22630281845
1,194630.96766966666
1,193178.79512763277
1,189831.7486126737
1,184574.79109600766
1,177513.50986020474
1,168946.39321960512
1,123396.16739130238
1,119242.03727511097
1,115178.2928969247
1,111384.84524044346
1,106269.65580125355
1,106911.55882546975
1,111033.81638867357
1,118974.03522103705
1,130324.16252366817
1,142822.93728992963
1,155165.46636818373
1,166423.99541444506
1,176118.9012775236
1,183944.42120459134
1,189595.3948913921
1,192874.20828539185
1,193863.8578927068
1,192839.91936481625
1,189791.11497201672
1,184850.3356277536
1,177909.63035761836
1,169574.81934239814
1,117776.03780696681
1,113569.21476054618
1,110148.33099505055
1,107750.0549574243
1,105587.97017331979
1,105668.06163311948
1,107281.56289360978
1,112434.7734178083
1,122330.31968248585
1,135371.58707858747
1,148686.8203810171
1,161015.25979708065
1,171714.53598677999
1,180394.0521454094
1,186786.8613686264
1,190691.33801648798
1,192231.64893901898
1,191629.7077606775
1,189041.01608346732
1,184420.88644729884
1,177872.27897497304
1,169840.74060433835
1,117479.84774467806
1,114879.68720279691
1,113958.41646243358
1,114357.5489816985
1,116157.84034861166
1,116302.37211088373
1,115952.90383100175
1,121585.33901717314
1,131524.2088
1,143952.12400544633
1,156152.43022541108
1,167439.69368608872
1,176640.80199700064
1,183553.54030435078
1,187968.5144373632
1,189980.93277768337
1,189844.5371671175
1,187682.6988767995
1,183504.00073792448
1,177598.61671430618
1,170218.9877
1,121235.72177087446
1,122189.90656780895
1,123926.23902403607
1,132168.57619697298
1,142014.80781619213
1,153505.8102310839
1,164245.47951465685
1,173434.8586713368
1,180505.3171976564
1,185073.91050603215
1,187484.5080907369
1,187739.6213
1,186026.39485629977
1,182440.9554966104
1,177150.65957603863
1,170649.28592157125
1,163428.64217505735
1,155752.79167939664
1,129726.05067176085
1,128438.61886903064
1,128896.23054011012
1,130526.4890897915
1,132431.57873716456
1,131358.7984148585
1,135088.6786619585
1,142840.2356412751
1,152609.62972752133
1,162445.67120328377
1,171142.1549125346
1,177963.77602892066
1,182477.53989287725
1,184948.8062316816
1,185496.81350903682
1,184118.1666948313
1,181012.98658630005
1,176541.01423863007
1,171104.29289176187
1,165190.5503652523
1,159029.1912826944
1,152632.0597308575
1,134828.1603533914
1,134724.92424295805
1,135949.9287466713
1,137792.94540159873
1,139404.87618525253
1,140289.74465015944
1,140337.19884792645
1,139476.3102501387
1,137768.67904931444
1,135861.17988672515
1,135426.15657355785
1,138330.1782801285
1,144704.7030965646
1,153279.85584516777
1,161891.58715013793
1,169889.26314800596
1,176026.49657693531
1,180343.9682277592
1,182563.7007767506
1,183108.89835448397
1,181959.92394761386
1,179337.69500817137
1,175726.6293528324
1,171514.11602551787
1,167213.95605298664
1,162859.65786397026
1,158438.67120775997
1,153843.63964229924
1,138928.2462014045
1,140065.95922345584
1,141990.90865857294
1,143904.28946627176
1,145142.5844546874
1,145336.1712493622
1,144490.00578398752
1,142826.0214599224
1,140547.3307394503
1,138478.35819286684
1,138251.53240616847
1,141305.28682265824
1,147394.2878154585
1,155001.38891226146
1,162617.05216122066
1,169510.8349354484
1,174918.9513774361
1,178567.57778762557
1,180388.4403922723
1,180684.8607839638
1,179589.7307
1,177426.01922756742
1,174777.99724367596
1,171976.16033907983
1,169532.99547937213
1,167247.36400159326
1,165050.18764112162
1,162651.66104600154
1,160003.95213438952
1,140431.8331762587
1,142148.17027938404
1,144562.73365698475
1,147142.45863767382
1,149117.10721898012
1,149940.6847510678
1,149423.0416683366
1,147743.0265745731
1,145236.89541362828
1,142288.5475628918
1,140143.26575531275
1,140464.03352429956
1,144142.40720641727
1,150218.48027841919
1,157401.21220426686
1,164225.06220121533
1,170097.0663860582
1,174445.80970597613
1,177243.21255065958
1,178447.30122298998
1,178336.77598017966
1,177202.80439339275
1,175445.87845033014
1,173756.25855895274
1,172544.16959794046
1,172072.45688056978
1,172059.09017435316
1,172113.53616336198
1,171927.11762854358
1,171229.09701012712
1,169457.96023436915
1,166494.69588753764
1,141811.0592760446
1,145106.39205369182
1,148565.0747048143
1,151580.78722491814
1,153481.47855642313
1,153852.75568766127
1,152683.30835160063
1,150288.39126092597
1,146989.30024611982
1,143695.0006536818
1,141738.11521892296
1,142866.7722456404
1,147255.5129608295
1,153663.32303231795
1,160319.92738157464
1,166308.6068047403
1,171108.94013685838
1,174548.27621265285
1,176371.9501519489
1,176846.637
1,176243.54415168482
1,174969.16928014127
1,173646.24280150156
1,172983.99956891264
1,173416.23036523006
1,174959.7878798554
1,177057.60635504447
1,179213.26092630936
1,180941.4274240757
1,181922.14134710102
1,181599.86647985326
1,179833.0582944339
1,176509.9337197976
1,144895.23687319004
1,152648.70584245247
1,155559.17248296915
1,157092.3529668875
1,156873.67052193024
1,155056.90663237445
1,152008.9969364512
1,148312.04787127295
1,145056.8504891501
1,143911.8892911919
1,146128.74813718733
1,151248.5456059572
1,157588.53121145102
1,163578.83447722404
1,168724.70551411324
1,172535.45223028937
1,174883.0343667598
1,175768.40704912983
1,175470.23608584737
1,174348.85210812755
1,172956.9425229607
1,172062.85969275614
1,172452.68310850798
1,174506.24093607982
1,177858.48827690585
1,181819.8208282683
1,185677.14972955044
1,188965.77551187188
1,191282.86071465324
1,192113.9505295209
1,191329.2539522714
1,188800.66460716305
1,184508.04532893686
1,159521.24806245614
1,160223.35364625818
1,159210.39631152924
1,156687.7656555666
1,153158.9298
1,149442.7064294889
1,146873.31828888567
1,146981.9919886983
1,150366.91356955314
1,155943.90370915635
1,161981.4175943709
1,167240.9853785311
1,171301.99211434115
1,174025.96656549387
1,175320.9989377062
1,175281.57151588873
1,174226.99744289104
1,172585.40963584566
1,171043.39060344195
1,170576.6719425822
1,171937.9658
1,175324.9875881139
1,180160.81485127713
1,185539.50887536962
1,190738.6212904123
1,195209.59808340704
1,198605.68301569507
1,200393.8494406287
1,200500.11656632295
1,198692.47804755688
1,195087.8198925593
1,189895.97872790784
1,161191.7397764913
1,157823.78912390373
1,153895.15217799725
1,150440.20686699406
1,148935.53785216392
1,150563.4214518494
1,155035.68805629836
1,160831.04442325793
1,166414.9983
1,170811.89358503043
1,173788.96756747708
1,175444.07513451195
1,175678.10841825127
1,174711.68387748316
1,172896.0593428652
1,170719.9239694997
1,169008.7125283013
1,168861.9725586086
1,170936.39137059907
1,175279.99859526713
1,181159.89090241728
1,187502.72189382694
1,193630.0861846623
1,199007.66908596165
1,203253.06992189382
1,205881.71341702424
1,206810.2704825949
1,205863.62583459663
1,203091.99589788856
1,198683.4625
1,192699.04430560966
1,185520.68176496142
1,163103.4003503537
1,158672.39423814983
1,154148.1350830853
1,151038.39486302063
1,150842.42936299363
1,153999.9505504174
1,159384.23274989694
1,165347.88558808272
1,170473.36743498553
1,174054.28940206827
1,176055.32086700873
1,176614.70610990276
1,175834.45499290887
1,173958.5495476138
1,171393.37792078828
1,168667.40058840503
1,166719.67665350504
1,166675.73244807756
1,169137.54296219425
1,173997.25428677487
1,180379.7520078753
1,187129.23132406245
1,193922.64063335877
1,199905.55573451344
1,204835.76003581032
1,208238.14039771378
1,210012.9120941634
1,210022.70330974922
1,208258.08055329195
1,204887.2230364994
1,199937.61008537354
1,193722.46667603002
1,111169.72397227827
