year,site,snow,wind,ta_summer,ta_annual,fac,SSP
2020,VIR466,499.0374,5.980620827595034,-4.272337825,-15.97673818,18.279471622084817,5
2020,VIR575,699.207,5.267815041404029,-2.533383694,-12.77227165,20.994889388509694,5
2020,VIR619,797.8019999999999,5.646285674559034,-1.729275148,-11.35769727,20.973240699999998,5
2020,VIR621,929.5385999999999,4.920175420882109,-2.362071498,-12.0706593,22.76364253367653,5
2020,VIR440,510.86280000000005,6.970222263,-4.941135783,-16.09081152,18.07844934,5
2020,VIR716,777.8220000000001,7.358468507225842,-3.465729517,-12.97529181,21.23741029,5
2020,VIR513,932.5056000000001,8.267060541,-4.129350677,-16.8086473,25.980600765000002,5
2020,VIR494,439.6812000000001,5.682057975572506,-3.649717467,-16.30688701,17.579456713959406,5
2020,VIR469,486.948,6.396994624207673,-4.44356503,-14.6203861,16.362721430887675,5
2020,VIR715,829.4448000000002,7.4436412117961765,-3.947199413,-13.87439381,21.787507919999996,5
2020,VIR512,974.9388000000001,8.216416676598337,-4.314305796,-17.0537662,26.624168334999997,5
2021,VIR466,487.3272,5.912492387374861,-4.065539966,-16.13705798,18.27722245000074,5
2021,VIR575,721.8876,5.306537791660046,-2.488674209,-12.41204861,20.981359838509693,5
2021,VIR619,824.7402000000001,5.689971462,-1.712857425,-10.976377,20.79073518,5
2021,VIR621,961.1189999999999,4.952429181122765,-2.301496469,-11.68616016,22.76004016,5
2021,VIR440,500.1426000000001,6.894512954,-4.759941035,-16.23325056,18.07800046,5
2021,VIR716,775.3512000000002,7.291638870129069,-3.409051761,-13.04897009,21.25575844,5
2021,VIR513,957.2772,8.276054348857636,-4.118478173,-16.67523025,25.958248115000004,5
2021,VIR494,430.7724000000001,5.6159801465914505,-3.473578307,-16.3942241,17.626575263959406,5
2021,VIR469,470.79479999999995,6.3289167152214985,-4.254027444,-14.77450399,16.37637349926655,5
2021,VIR715,827.6238000000003,7.387249442722956,-3.87109395,-13.95050993,21.803178619999997,5
2021,VIR512,999.3528000000002,8.225556653556863,-4.285857783,-16.9094005,26.649317334999996,5
2022,VIR466,483.17699999999996,5.894494155,-4.161497662,-16.20030826,18.273873025331014,5
2022,VIR575,723.3234,5.325995001611138,-2.373233109,-12.13670377,20.94689856350969,5
2022,VIR619,825.5778,5.719290192917175,-1.618398659,-10.66415411,20.78355539,5
2022,VIR621,967.9488,4.975982933528437,-2.193727838,-11.4184714,22.726866596651302,5
2022,VIR440,497.6892,6.889127615891555,-4.815376406,-16.25211605,18.087833119912702,5
2022,VIR716,803.2722000000002,7.394790666326784,-3.453581923,-12.87722498,21.30696667,5
2022,VIR513,960.0918,8.361653420577538,-3.998890681,-16.43791988,25.969240995000007,5
2022,VIR494,427.16520000000014,5.555085954742483,-3.564674025,-16.45373781,17.634009175663323,5
2022,VIR469,460.548,6.301273546334552,-4.330067581,-14.85185808,16.368721990694333,5
2022,VIR715,862.2432000000005,7.477763330508326,-3.942874648,-13.76328025,21.874638129999994,5
2022,VIR512,1001.2278000000002,8.311947731827251,-4.17427597,-16.68159847,26.680365364999997,5
2023,VIR466,477.4212,5.926440199758991,-4.08077368,-15.99871527,18.264799604461288,5
2023,VIR575,712.5762,5.286085263387892,-2.285197779,-12.16788063,20.88038073850969,5
2023,VIR619,815.7228,5.683533840510621,-1.48719935,-10.63087077,20.714302294999996,5
2023,VIR621,951.3624,4.930850301039958,-2.091849862,-11.46994391,22.69241122,5
2023,VIR440,493.7364,6.907843773725657,-4.750478652,-16.07943518,18.09085362269101,5
2023,VIR716,787.6056000000002,7.392126703833185,-3.384431865,-12.820161,21.29875684,5
2023,VIR513,947.4888000000001,8.347858185682503,-3.978724015,-16.39937253,25.91861888000001,5
2023,VIR494,421.5054000000001,5.570438153,-3.47645081,-16.25138554,17.66581112419141,5
2023,VIR469,462.4356,6.343088958520932,-4.228576894,-14.68458425,16.35994782,5
2023,VIR715,846.6558000000005,7.472293044410016,-3.861866104,-13.71876168,21.878503244999994,5
2023,VIR512,986.4900000000004,8.305344301207692,-4.177354311,-16.67019596,26.660629944999997,5
2024,VIR466,457.5288,5.890917159939615,-3.900346952,-15.90150053,18.222938033328145,5
2024,VIR575,725.895,5.303101174475167,-2.288083389,-11.98985093,20.81207673850969,5
2024,VIR619,830.7750000000001,5.688213443177606,-1.463210586,-10.45587148,20.635580954999995,5
2024,VIR621,971.8734000000001,4.940560082190089,-2.09855277,-11.29914509,22.674830916651302,5
2024,VIR440,481.5216,6.873412152722603,-4.613857079,-15.99378365,18.06856892059506,5
2024,VIR716,797.0670000000001,7.421330547,-3.332478276,-12.77118211,21.31170362,5
2024,VIR513,947.5014000000001,8.313300489,-3.99884926,-16.14297745,25.87864920000001,5
2024,VIR494,406.2828000000001,5.540889295535604,-3.35675326,-16.2036079,17.670642655348182,5
2024,VIR469,442.6032,6.301946969295691,-4.02892042,-14.57861669,16.34364397745782,5
2024,VIR715,853.7460000000005,7.496654062825539,-3.786019558,-13.65571771,21.884347524999995,5
2024,VIR512,985.1082000000005,8.269979418820737,-4.218919728,-16.41242371,26.650068644999994,5
2025,VIR466,478.56539999999995,5.928569138,-3.865350601,-15.86027058,18.179063610151868,5
2025,VIR575,735.2280000000001,5.353383608550948,-2.252425075,-11.54752911,20.87618760394625,5
